Component, Time (ms)
Task time, 3.433
Task time, 1.814
Task time, 3.403
Task time, 1.81
Task time, 3.481
Task time, 1.919
Task time, 3.527
Task time, 1.956
Task time, 3.623
Task time, 3.789
Task time, 2.735
Task time, 3.779
Task time, 2.822
Task time, 1.879
Task time, 3.237
Task time, 4.128
Task time, 3.505
Task time, 3.753
Task time, 3.43
Task time, 2.299
Task time, 1.933
Task time, 3.775
Task time, 2.804
Task time, 2.23
Task time, 2.807
Task time, 2.187
Task time, 2.875
Task time, 2.096
Task time, 1.91
Task time, 4.131
Task time, 2.669
Task time, 2.019
Task time, 2.836
Task time, 3.83
Task time, 2.781
Task time, 4.019
Task time, 4.089
Task time, 2.709
Task time, 4.27
Task time, 3.328
Task time, 4.545
Task time, 2.998
Task time, 3.671
Task time, 2.884
Task time, 4.209
Task time, 3.714
Task time, 3.704
Task time, 3.878
Task time, 2.365
Task time, 4.498
Task time, 3.92
Task time, 4.288
Task time, 4.313
Task time, 4.342
Task time, 3.974
Task time, 4.401
Task time, 2.187
Task time, 4.212
Task time, 2.447
Task time, 4.373
Task time, 2.54
Task time, 2.334
Task time, 2.606
Task time, 3.448
Task time, 2.17
Task time, 3.985
Task time, 3.154
Task time, 3.322
Task time, 2.352
Task time, 2.5
Task time, 2.333
Task time, 2.365
Task time, 2.453
Task time, 2.222
Task time, 2.316
Task time, 2.812
Task time, 2.65
Task time, 3.432
Task time, 2.391
Task time, 2.579
Task time, 2.402
Task time, 4.858
Task time, 2.245
Task time, 4.707
Task time, 3.251
Task time, 4.653
Task time, 3.184
Task time, 4.588
Task time, 2.995
Task time, 2.302
Task time, 2.698
Task time, 3.607
Task time, 4.226
Task time, 4.704
Task time, 2.439
Task time, 4.746
Task time, 4.27
Task time, 4.732
Task time, 4.716
Task time, 4.242
Task time, 4.937
Task time, 4.142
Task time, 4.56
Task time, 3.085
Task time, 3.718
Task time, 2.598
Task time, 3.859
Task time, 2.351
Task time, 2.658
Task time, 2.81
Task time, 2.773
Task time, 2.38
Task time, 2.78
Task time, 2.356
Task time, 4.309
Task time, 2.753
Task time, 4.682
Task time, 4.553
Task time, 4.208
Task time, 2.363
Task time, 4.439
Task time, 2.343
Client Total,60156.534

